Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10
TITLE;PRICE;LINK;LEVEL;NO. ROOMS;TYPE;AREA;FURNITURE;TYPEOF2;CZYNSZ
Wynajmê mieszkanie 43 m na Saskiej Kêpie;2 800 z³;https://olx.pl/d/oferta/wynajme-mieszkanie-43-m-na-saskiej-kepie-CID3-IDVVjIO.html;3;2 pokoje;Blok;43 m?;Tak;Prywatne;840 z³
Mieszkanie 43m2, Mokotów;3 100 z³;https://olx.pl/d/oferta/mieszkanie-43m2-mokotow-CID3-IDYnUCO.html;3;2 pokoje;Kamienica;43 m?;Tak;Prywatne;3 100 z³
Mieszkanie na wynajem 2 pokoje, Targówek, Wilno;3 300 z³;https://olx.pl/d/oferta/mieszkanie-na-wynajem-2-pokoje-targowek-wilno-CID3-IDY47C7.html;1;2 pokoje;Blok;39,60 m?;Tak;Prywatne;500 z³
2 pokojowe mieszkanie na Woli, blisko metra i parku Moczyd³o;2 900 z³;https://olx.pl/d/oferta/2-pokojowe-mieszkanie-na-woli-blisko-metra-i-parku-moczydlo-CID3-IDXO6gW.html;1;2 pokoje;Blok;38 m?;Tak;Prywatne;700 z³
Bezpoœrednio od w³aœciciela 2 pok.na Pradze Po³udnie, obnizka ceny;2 750 z³;https://olx.pl/d/oferta/bezposrednio-od-wlasciciela-2-pok-na-pradze-poludnie-obnizka-ceny-CID3-IDUpfMS.html;2;2 pokoje;Blok;51 m?;Tak;Prywatne;850 z³
3 pokoje, Bia³o³êka, Pavarottiego;6 000 z³;https://www.otodom.pl/pl/oferta/3-pokoje-bialoleka-pavarottiego-ID4osCh.html;1/2;3;blok;65 m?;;prywatny;
Nowoczesne studio z si³owni¹ i saun¹ w cenie!;3 150 z³;https://www.otodom.pl/pl/oferta/nowoczesne-studio-z-silownia-i-sauna-w-cenie-ID4oBjn.html;7/8;1;;33,17 m?;;biuro nieruchomoœci;545 z³/miesi¹c
Mieszkanie 3-pokojowe + garaz na Ursusie;4 200 z³;https://olx.pl/d/oferta/mieszkanie-3-pokojowe-garaz-na-ursusie-CID3-IDWKwSU.html;1;3 pokoje;Apartamentowiec;70 m?;Tak;Prywatne;1 z³
2 pokoje + miejsce parkingowe, ul. Tomcia Palucha;2 300 z³;https://olx.pl/d/oferta/2-pokoje-miejsce-parkingowe-ul-tomcia-palucha-CID3-IDW0KU0.html;1;2 pokoje;Blok;50 m?;Tak;Prywatne;830 z³
Wynajmê mieszkanie przy ul. Odkrytej;2 700 z³;https://olx.pl/d/oferta/wynajme-mieszkanie-przy-ul-odkrytej-CID3-IDJw0W3.html;Parter;2 pokoje;Blok;46 m?;Tak;Prywatne;800 z³
Funkcjonalny apartament 2 pokoje na Bemowie;2 900 z³;https://olx.pl/d/oferta/funkcjonalny-apartament-2-pokoje-na-bemowie-CID3-IDVbbmJ.html;2;2 pokoje;Apartamentowiec;35 m?;Tak;Prywatne;724 z³
Cybernetyki - blisko biznesowego centrum Mokotowa;3 200 z³;https://olx.pl/d/oferta/cybernetyki-blisko-biznesowego-centrum-mokotowa-CID3-IDYqtuP.html;6;2 pokoje;Apartamentowiec;37,85 m?;Tak;Prywatne;750 z³
23m2 kawalerka ochota 4/4;2 500 z³;https://olx.pl/d/oferta/23m2-kawalerka-ochota-4-4-CID3-IDYqtpQ.html;;Kawalerka;Blok;23 m?;Tak;Prywatne;2 500 z³
Mieszkanie przy Che³mskiej. Nowe.;3 400 z³;https://olx.pl/d/oferta/mieszkanie-przy-chelmskiej-nowe-CID3-IDXA3nB.html;;2 pokoje;Apartamentowiec;50 m?;Tak;Firmowe;1 050 z³
Estetyczne mieszkanie 2pokoje ul. Okiñskiego obok/ ¯wirki /Grójecka;2 800 z³;https://olx.pl/d/oferta/estetyczne-mieszkanie-2pokoje-ul-okinskiego-obok-zwirki-grojecka-CID3-IDYgA3n.html;3;2 pokoje;Blok;36 m?;Tak;Prywatne;800 z³
Mieszkanie 2-pokojowe z du¿ym balkonem Zielone Zacisze przy Metrze;2 900 z³;https://olx.pl/d/oferta/mieszkanie-2-pokojowe-z-duzym-balkonem-zielone-zacisze-przy-metrze-CID3-IDS7fxz.html;Parter;2 pokoje;Blok;54 m?;Tak;Prywatne;900 z³
Ursynów - K³obucka - nowe osiedle - 2 pokoje z balkonem;2 800 z³;https://olx.pl/d/oferta/ursynow-klobucka-nowe-osiedle-2-pokoje-z-balkonem-CID3-IDXZIXf.html;3;2 pokoje;Apartamentowiec;42 m?;Tak;Firmowe;900 z³
Do wynajêcia 3 pokojowe Bródno;2 800 z³;https://olx.pl/d/oferta/do-wynajecia-3-pokojowe-brodno-CID3-IDYqthR.html;9;3 pokoje;Blok;47 m?;Tak;Prywatne;760 z³
Kawalerka do wynajêcia;2 200 z³;https://olx.pl/d/oferta/kawalerka-do-wynajecia-CID3-IDYqthq.html;2;Kawalerka;Dom wolnostoj¹cy;21 m?;Tak;Prywatne;1 z³
Obywatelska 7-apartament, 2 pokoje, balkon, TV, gara¿ podziemny,;3 500 z³;https://olx.pl/d/oferta/obywatelska-7-apartament-2-pokoje-balkon-tv-garaz-podziemny-CID3-IDYqt9k.html;3;2 pokoje;Apartamentowiec;50 m?;Tak;Firmowe;800 z³
2 pokoje na Klimontowskiej z gara¿em;2 600 z³;https://olx.pl/d/oferta/2-pokoje-na-klimontowskiej-z-garazem-CID3-IDXF2it.html;3;2 pokoje;Apartamentowiec;40 m?;Tak;Firmowe;900 z³
MERTO Rondo Daszyñskiego - 2 oddz pok 64m2,gara¿,balkon, ul. ¯ytnia 16;2 800 z³;https://olx.pl/d/oferta/merto-rondo-daszynskiego-2-oddz-pok-64m2-garaz-balkon-ul-zytnia-16-CID3-IDYqt82.html;;2 pokoje;Apartamentowiec;64 m?;Tak;Prywatne;500 z³
mieszkanie trzypokojowe | ul. Krzemieniecka 10;5 100 z³;https://www.otodom.pl/pl/oferta/mieszkanie-trzypokojowe-ul-krzemieniecka-10-ID4n3Mr.html;5/5;3;blok;60,77 m?;;deweloper;900 z³/miesi¹c
mieszkanie dwupokojowe | ul. Krzemieniecka 10;3 950 z³;https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-ul-krzemieniecka-10-ID4n3Ly.html;2/5;2;blok;43,87 m?;;deweloper;800 z³/miesi¹c
Mieszkanie 65m, komfortowo wykoñczone, komórka, parking;2 500 z³;https://olx.pl/d/oferta/mieszkanie-65m-komfortowo-wykonczone-komorka-parking-CID3-IDYqsOJ.html;3;Kawalerka;Apartamentowiec;65 m?;Tak;Prywatne;500 z³
Zwierzyniecka 6-Mokotów, 2 pokoje, taras, gara¿, spokojna okolica;2 700 z³;https://olx.pl/d/oferta/zwierzyniecka-6-mokotow-2-pokoje-taras-garaz-spokojna-okolica-CID3-IDYqsOo.html;4;2 pokoje;Apartamentowiec;52 m?;Tak;Firmowe;1 050 z³
Mieszkanie dwupokojowe na Mokotowie - Stegny 60 m2 , 2800 z³.;2 800 z³;https://olx.pl/d/oferta/mieszkanie-dwupokojowe-na-mokotowie-stegny-60-m2-2800-zl-CID3-IDJef5W.html;Parter;2 pokoje;Szeregowiec;60 m?;Tak;Prywatne;1 z³
Dwupokojowe mieszkanie z ogródkiem;3 000 z³;https://olx.pl/d/oferta/dwupokojowe-mieszkanie-z-ogrodkiem-CID3-IDY588F.html;Parter;2 pokoje;Apartamentowiec;31,60 m?;Tak;Firmowe;1 z³
2 pokoje, mieszkanie na wynajem - Warszawa Bemowo;3 300 z³;https://www.otodom.pl/pl/oferta/2-pokoje-mieszkanie-na-wynajem-warszawa-bemowo-ID4knDw.html;parter/4;2;blok;45,5 m?;;prywatny;
Zupe³nie nowe 2 pokoje, W³ochy/Ochota - Budki Szczêœliwickie;3 000 z³;https://olx.pl/d/oferta/zupelnie-nowe-2-pokoje-wlochy-ochota-budki-szczesliwickie-CID3-IDYqsKr.html;2;2 pokoje;Apartamentowiec;42 m?;Tak;Firmowe;650 z³
Og³oszenie o przetargu w przedmiocie najmu lokalu mieszkalnego;2 400 z³;https://olx.pl/d/oferta/ogloszenie-o-przetargu-w-przedmiocie-najmu-lokalu-mieszkalnego-CID3-IDYqsA8.html;Parter;2 pokoje;Blok;40 m?;Tak;Firmowe;800 z³
Mieszkanie, kawalerka do wynajêcia - WARSZAWA URSUS;1 700 z³;https://olx.pl/d/oferta/mieszkanie-kawalerka-do-wynajecia-warszawa-ursus-CID3-IDYqsxS.html;2;Kawalerka;Kamienica;20 m?;Tak;Prywatne;50 z³
Dom z 4 sypialniami i ogrodem;7 900 z³;https://olx.pl/d/oferta/dom-z-4-sypialniami-i-ogrodem-CID3-IDYqsoU.html;Parter;4 i wiêcej;Blok;130 m?;Nie;Firmowe;1 z³
Kamiñskiego 6, Bia³o³êka, kawalerka, 0% PROWIZJI;2 000 z³;https://olx.pl/d/oferta/kaminskiego-6-bialoleka-kawalerka-0-prowizji-CID3-IDSkCsS.html;Parter;Kawalerka;Blok;37 m?;Tak;Firmowe;610 z³
Mieszkanie do wynajêcia - Budki Szczêœliwickie;4 000 z³;https://olx.pl/d/oferta/mieszkanie-do-wynajecia-budki-szczesliwickie-CID3-IDYqs4m.html;Parter;2 pokoje;Blok;38 m?;Tak;Prywatne;1 z³
kawalerka Warszawa, Anielewicza róg JP II;1 800 z³;https://olx.pl/d/oferta/kawalerka-warszawa-anielewicza-rog-jp-ii-CID3-IDYqs53.html;3;Kawalerka;Blok;26 m?;Tak;Prywatne;200 z³
Luksusowy apartament na wynajem w Z³otej 44;15 000 z³;https://www.otodom.pl/pl/oferta/luksusowy-apartament-na-wynajem-w-zlotej-44-ID4ibKB.html;;2;apartamentowiec;64 m?;;biuro nieruchomoœci;
Dwupokojowe, klimatyzowane mieszkanie w apartamentowcu z basenem;3 500 z³;https://olx.pl/d/oferta/dwupokojowe-klimatyzowane-mieszkanie-w-apartamentowcu-z-basenem-CID3-IDSU8AY.html;5;2 pokoje;Apartamentowiec;45 m?;Tak;Prywatne;700 z³
S³oneczna kawalerka przy rondo Wiatraczna, 2300 z³ po remoncie;2 300 z³;https://olx.pl/d/oferta/sloneczna-kawalerka-przy-rondo-wiatraczna-2300-zl-po-remoncie-CID3-IDYfIVc.html;6;Kawalerka;Blok;20 m?;Tak;Prywatne;380 z³
Mieszkanie 3 pokoje 58m2 z oddzieln¹ kuchni¹ w dobrej lokalizacji.;3 700 z³;https://olx.pl/d/oferta/mieszkanie-3-pokoje-58m2-z-oddzielna-kuchnia-w-dobrej-lokalizacji-CID3-IDYkd2n.html;10;3 pokoje;Blok;58 m?;Nie;Prywatne;1 z³
wynajmê mieszkanie;3 500 z³;https://olx.pl/d/oferta/wynajme-mieszkanie-CID3-IDOlznR.html;1;2 pokoje;Apartamentowiec;42 m?;Tak;Prywatne;1 z³
Kawalerkê na spokojnym, strze¿onym osiedlu Lewandów Park II.;2 200 z³;https://olx.pl/d/oferta/kawalerke-na-spokojnym-strzezonym-osiedlu-lewandow-park-ii-CID3-IDY46AF.html;2;Kawalerka;Blok;30 m?;Tak;Prywatne;420 z³
Wygodne 2 pokoje, osobna kuchnia, balkon w Ursusie;2 500 z³;https://olx.pl/d/oferta/wygodne-2-pokoje-osobna-kuchnia-balkon-w-ursusie-CID3-IDYqnFX.html;2;2 pokoje;Blok;42 m?;Tak;Firmowe;805 z³
Warszawa Mokotów apartament 80 m2,  taras 70 m2, balkon, gara¿ klima;9 000 z³;https://olx.pl/d/oferta/warszawa-mokotow-apartament-80-m2-taras-70-m2-balkon-garaz-klima-CID3-IDYqrHd.html;8;3 pokoje;Apartamentowiec;80 m?;Tak;Prywatne;850 z³
2 minuty do METRA ŒWIÊTOKRZYSKA, ciche, zieleñ;3 500 z³;https://www.otodom.pl/pl/oferta/2-minuty-do-metra-swietokrzyska-ciche-zielen-ID4oQ5v.html;1/4;2;kamienica;26 m?;;prywatny;
Nowe 3-pokojowe komfortowe z gara¿em Ursus 62m;4 800 z³;https://www.otodom.pl/pl/oferta/nowe-3-pokojowe-komfortowe-z-garazem-ursus-62m-ID4mFse.html;2/6;3;apartamentowiec;62 m?;;prywatny;900 z³/miesi¹c
Kawalerka 28 m ul. Elbl¹ska - ¯oliborz /J2/cz.;2 200 z³;https://olx.pl/d/oferta/kawalerka-28-m-ul-elblaska-zoliborz-j2-cz-CID3-IDKjZ1F.html;;Kawalerka;Blok;28 m?;Tak;Firmowe;1 z³
Zamieszkaj w ciszy 100 m od Metra Ratusz Arserna³;2 700 z³;https://www.otodom.pl/pl/oferta/zamieszkaj-w-ciszy-100-m-od-metra-ratusz-arsernal-ID4oQ5t.html;1/3;1;kamienica;28,89 m?;;biuro nieruchomoœci;
2 pokoje | Kabaty | Na wynajem;2 700 z³;https://www.otodom.pl/pl/oferta/2-pokoje-kabaty-na-wynajem-ID4onjp.html;5/6;2;;54 m?;;biuro nieruchomoœci;900 z³/miesi¹c
